dataset,n_cells,greedy_time_n,greedy_time_mean_s,greedy_time_std_s,ilp_time_n,ilp_time_mean_s,ilp_time_std_s,Hybrid time,greedy_parsimony,ilp_parsimony_obj,ilp_status,Hybrid parsimony
sub1_train_12,25,3,0.3000,0.0163,3,30.0133,0.0125,15.39,35,35.0000,Optimal,38
sub1_train_31,34,3,0.2933,0.0125,3,2333.3133,388.4779,29.34,50,,,53
sub1_train_33,26,3,0.5167,0.1438,3,1856.6933,81.7035,50.26,40,,,43
sub1_train_44,32,3,0.3133,0.0403,3,57.8000,0.0653,15.46,51,49.0000,Optimal,50
sub1_train_55,26,3,0.2967,0.0205,3,18.0067,0.0170,2.51,35,27.0000,Optimal,57
sub1_train_57,27,3,0.2900,0.0082,3,2.6867,0.0170,1.58,38,32.0000,Optimal,40
sub1_train_60,26,3,0.2900,0.0082,3,3503.7167,38.4976,85.76,46,,,56
sub1_train_62,31,3,0.3733,0.0403,3,131.3333,0.1756,22.83,32,33.0000,Optimal,35
sub1_train_7,39,3,0.3767,0.1226,3,522.6333,3.6858,44.44,58,53.0000,Optimal,85
sub1_train_73,26,3,0.3600,0.0424,3,1849.1000,22.4306,18.82,46,,,47